impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K21-142953,A655332,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655332,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Missey Kitty,Cat,10 YEARS 4 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,12/31/2021 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655332,Image Copyright HLP Inc. 2022,"Received on: 2021-12-31<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 10 YEARS 4 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Missey Kitty and I am available for adoption.<p/><p/>I was brought in by my previous owner on 12/31/2021 because my owner passed away. I lived in a home with just my owner. I have been really shy in the shelter but cant wait to get into a home and blossom.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K22-143325,A655193,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655193,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Fran,Dog,1 YEAR,Spayed Female,Pit Bull,Blue / White,01/16/2022 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655193,Image Copyright HLP Inc. 2022,"Received on: 2022-01-16<p/> Description: Blue / White<p/>  Spayed Female Pit Bull Dog<p/> Age: 1 YEAR<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hiya! My name is Fran and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 12/28/2021.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"" and ""shake"".<p/><p/>My caregivers have noticed that I do not care for toys, but I really do love treats and people.<p/><p/>Also my caregivers have noticed that I seem to do well with other dog. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I am a short and goofy gal! If you're looking for a fun little couch potato then look no further :)<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K22-143268,A656117,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Paris,Dead Dog,NO AGE,Female,Chihuahua - Smooth Coated,Tan,01/14/2022 12:00:00 AM,Received on,25200 block of  109TH PL SE,KENT,WA,98030,KENT,47.375022,-122.196902,,Image Copyright HLP Inc. 2022,Received on: 2022-01-14<p/> Found Near: 25200 block of  109TH PL SE<p/> Description: Tan Female Chihuahua - Smooth Coated Dog<p/> Age: NO AGE<p/>,
K21-142862,A655118,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2371659,LOST,Mila,Cat,Under 1 year<p/>,Female,Domestic Shorthair,White,12/23/2021 12:00:00 AM,Date Lost,13200 block of  SE 226TH ST,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2371659,Image Copyright HLP Inc. 2022,"Description: mila has a light blue butterfly collar she has a little grey/brown patch on the back of her head the size of a thumb <p/>Age: Under 1 year<p/>Location Lost: 13234 se 226th st kent wa, Kent WA  98042<p/>Lost Date: 2021-12-23<p/>",
K21-142629,A654635,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2366268,LOST,Kitters,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Unknown,12/13/2021 12:00:00 AM,Date Lost,9TH  AND 154TH SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2366268,Image Copyright HLP Inc. 2022,"Description: Gray with dark swirls no tail<p/>Age: Over 1 year<p/>Location Lost: 9th and 154th sw, Seattle WA  98166<p/>Lost Date: 2021-12-13<p/>",
K22-143251,A656090,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A656090,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lemmy,Cat,2 YEARS,Male,Domestic Shorthair,Black / White,01/13/2022 12:00:00 AM,Received on,4000 block of  S 158TH ST,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656090,Image Copyright HLP Inc. 2022,"Received on: 2022-01-13<p/> Found Near: 4000 block of  S 158TH ST<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-142797,A655004,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655004,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Agatha Christie,Mouse,7 MONTHS,Female,Mouse,Fawn / White,12/23/2021 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655004,Image Copyright HLP Inc. 2022,"Received on: 2021-12-23<p/> Description: Fawn / White<p/>  Female Mouse Mouse<p/> Age: 7 MONTHS<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Agatha and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 12/23/21.<p/><p/>Mice: Quick Facts!<p/><p/>Related to the wild house mouse, domesticated mice have been bred as pets for centuries.<p/><p/>They are very inquisitive little creatures and love to have the companionship of other mice. However, male mice typically cannot live together and will fight to the death if left together.<p/><p/>Mice live on average 2 years, but they sure do pack a lot of life into that short time frame! Mice are very playful and inquisitive and have the best chance to have a healthy life with adequate care.<p/><p/>Recommendations For a Healthy Life<p/><p/>Exercise Wheel: 8 inch Silent Spinner type wheel<p/><p/>Aquarium: We recommend that mice are housed in a 30 inch long aquarium with mesh lid for safety and to allow them to dig and burrow.<p/><p/>Bedding & Nesting Material: We recommend Carefresh bedding or Kaytee – Clean and Cozy bedding. Plain toilet tissue is great for packing nests and sleeping hide-aways. You can find all these on smile.amazon.com<p/><p/>Variety of food: In addition to Oxbow brand young rat and mouse food, mice can also have a variety of treats to keep their diet balanced. Mice enjoy cooked pasta, peas, hard boiled eggs, pumpkin seeds, sunflower seeds, and meal worms.<p/><p/>Additionally:<p/><p/>A water bottle<p/>A nesting or hide-away box (wood or plastic)<p/>Attention and handling daily<p/>A change in their habitat set up at least once a week.<p/>",BLUE
K22-142995,A655411,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A655411,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dina,Cat,1 YEAR,Spayed Female,Domestic Shorthair,Brn Tabby,01/02/2022 12:00:00 AM,Received on,18600 block of  39TH AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655411,Image Copyright HLP Inc. 2022,"Received on: 2022-01-02<p/> Found Near: 18600 block of  39TH AVE S<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K22-142972,A655375,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2374619,LOST,Bear,Dog,Over 1 year<p/>,Male,Australian Cattle Dog,Black,01/01/2022 12:00:00 AM,Date Lost,BEL-RED  RD & 120TH AVE. NE.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2374619,Image Copyright HLP Inc. 2022,"Description: Stump tail 1.5 Year old Blue Heeler. Double black mask over eyes, single white star on forehead. <p/>Age: Over 1 year<p/>Location Lost: Bel-Red Rd & 120th Ave. NE. , Bellevue WA  98005<p/>Lost Date: 2022-01-01<p/>",
K22-143280,A656126,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A656126,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Redbull,Guinea Pig,1 YEAR,Female,Guinea Pig,Black / White,01/14/2022 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656126,Image Copyright HLP Inc. 2022,"Received on: 2022-01-14<p/> Description: Black / White<p/>  Female Guinea Pig Guinea Pig<p/> Age: 1 YEAR<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K22-143328,A655512,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655512,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rion,Cat,1 YEAR,Neutered Male,Domestic Mediumhair,Org Tabby / White,01/16/2022 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655512,Image Copyright HLP Inc. 2022,"Received on: 2022-01-16<p/> Description: Org Tabby / White<p/>  Neutered Male Domestic Mediumhair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hiya there! My name is Rion and I am available for adoption.<p/><p/>I was brought in by a good samaritan on January 3, 2022.<p/><p/>I am a very easy going guy and love affection!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/>",GREEN
K22-143243,A656082,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A656082,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pale Ale,Cat,7 YEARS,Neutered Male,Domestic Shorthair,Org Tabby / White,01/13/2022 12:00:00 AM,Received on,20100 block of  SE 258TH PL,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656082,Image Copyright HLP Inc. 2022,"Received on: 2022-01-13<p/> Found Near: 20100 block of  SE 258TH PL<p/> Description: Org Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 7 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K22-143026,A655527,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2376000,In Public Home,Judie Obrien,Dog,Unknown<p/>,Unknown,German Shepherd,Unknown,01/03/2022 12:00:00 AM,Date Found,78TH  AND ME 12TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2376000,Image Copyright HLP Inc. 2022,"<p/>Age: Unknown<p/>Found Near: 78th and me 12th, Medina WA  98039<p/>Found Date: 2022-01-03<p/>",
K21-142622,A654622,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2366079,In Public Home,,Cat,Unknown<p/>,Male,Domestic Shorthair,White,12/13/2021 12:00:00 AM,Date Found,UNKNOWN UNKNOWN,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2366079,Image Copyright HLP Inc. 2022,"Description: Our neighbors picked this cat up somewhere in Seattle thinking it was a stray and then proceeded to abandon it in our neighborhood in Kent. So we’re unsure if it has original owners in Seattle or what part of Seattle it was picked up in. It is a male, mostly white cat with some orange markings. <p/>Age: Unknown<p/>Found Near: Unknown , Kent WA  98042<p/>Found Date: 2021-12-13<p/>",
K21-142644,A654670,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2366581,LOST,BombÓn,Dog,Over 1 year<p/>,Male,Alaskan Husky,Black,12/13/2021 12:00:00 AM,Date Lost,MILITARY  ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2366581,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: Military Road , Seattle WA  98168<p/>Lost Date: 2021-12-13<p/>",
K21-142719,A654849,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2368738,LOST,Charlie,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,12/15/2021 12:00:00 AM,Date Lost,100 block of  PL. SE & SE JONES RD.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2368738,Image Copyright HLP Inc. 2022,"Description: He is an Orange Tabby cat. Unaltered. He was Found as a feral kitten July 4, 2019 in West Seattle. He got used to my husband and would let him, touch/hold him. He would come indoors and sleep with husband at night, but was outdoors during the day. He is friendly only with husband. <p/>Age: Over 1 year<p/>Location Lost: 156 Pl. SE & SE Jones Rd. , Renton WA  98058<p/>Lost Date: 2021-12-15<p/>",
K22-143338,A656234,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A656234,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Male,Domestic Shorthair,Black / White,01/17/2022 12:00:00 AM,Received on,23700 block of  111TH PL SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656234,Image Copyright HLP Inc. 2022,"Received on: 2022-01-17<p/> Found Near: 23700 block of  111TH PL SE<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143324,A655713,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655713,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dinosaur,Dog,2 YEARS,Neutered Male,Siberian Husky,Tricolor / White,01/16/2022 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655713,Image Copyright HLP Inc. 2022,"Received on: 2022-01-16<p/> Description: Tricolor / White<p/>  Neutered Male Siberian Husky Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Say no more I am Dinosaur!<p/><p/>I arrived at the shelter by a good Samaritan on 01/07/2022!  I am available for adoption.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>I am a very smart dog maybe we can go to the bookstore! At the shelter I am practicing how to! ""sit"", ""stay"", ""come"", ""down"" and ""shake"" I am told practice makes perfect! <p/><p/>I adore affection and can be a lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>Here me roar I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other dogs my size. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I would do best in a home with older children.<p/><p/>I will need to find a home where someone is available for me in these early days. It is important to be consistent with me and socialize me so I can have the best companionship with people and other animals. I require patience because everything is brand new so I will need some TLC while I learn. I am not potty trained or crate training yet and teaching me those skills will help tremendously on a road to success! If you and your family are ready to fall in love my awesome self, please check me out!!<p/><p/>",RED
K22-143083,A655623,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A655623,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nova,Dog,3 YEARS,Female,German Shepherd,Black / Tan,01/05/2022 12:00:00 AM,Received on,29400 block of  34TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655623,Image Copyright HLP Inc. 2022,"Received on: 2022-01-05<p/> Found Near: 29400 block of  34TH AVE S<p/> Description: Black / Tan Female German Shepherd Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K21-142799,A655006,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655006,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dock,Mouse,7 MONTHS,Male,Mouse,Black,12/23/2021 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655006,Image Copyright HLP Inc. 2022,"Received on: 2021-12-23<p/> Description: Black<p/>  Male Mouse Mouse<p/> Age: 7 MONTHS<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hiya there! My name is Dock and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 12/23/21.<p/><p/>Mice: Quick Facts!<p/><p/>Related to the wild house mouse, domesticated mice have been bred as pets for centuries.<p/><p/>They are very inquisitive little creatures and love to have the companionship of other mice. However, male mice typically cannot live together and will fight to the death if left together.<p/><p/>Mice live on average 2 years, but they sure do pack a lot of life into that short time frame! Mice are very playful and inquisitive and have the best chance to have a healthy life with adequate care.<p/><p/>Recommendations For a Healthy Life<p/><p/>Exercise Wheel: 8 inch Silent Spinner type wheel<p/><p/>Aquarium: We recommend that mice are housed in a 30 inch long aquarium with mesh lid for safety and to allow them to dig and burrow.<p/><p/>Bedding & Nesting Material: We recommend Carefresh bedding or Kaytee – Clean and Cozy bedding. Plain toilet tissue is great for packing nests and sleeping hide-aways. You can find all these on smile.amazon.com<p/><p/>Variety of food: In addition to Oxbow brand young rat and mouse food, mice can also have a variety of treats to keep their diet balanced. Mice enjoy cooked pasta, peas, hard boiled eggs, pumpkin seeds, sunflower seeds, and meal worms.<p/><p/>Additionally:<p/><p/>A water bottle<p/><p/>A nesting or hide-away box (wood or plastic)<p/><p/>Attention and handling daily<p/><p/>A change in their habitat set up at least once a week.<p/>",BLUE
K21-140276,A638158,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Mopsy,Rabbit Sh,1 YEAR 3 MONTHS,Neutered Male,Rabbit Sh,Silver,09/22/2021 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,WOODINVILLE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A638158,Image Copyright HLP Inc. 2022,"Received on: 2021-09-22<p/> Description: Silver Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR 3 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Mopsy and I am available for adoption.<p/><p/>I was brought in by my previous owner on May 18, 2021 because they could no longer care for me. I lived in a home with other rabbits.<p/><p/>Rabbits are intelligent and complex animals who do well in families with humans who understand that they are prey animals, and do not enjoy being picked up or held. The best way to bond with me is to spend time with me on the floor, and shower me with plenty of greens and timothy hay! <p/><p/>I am a domestic rabbit and it is recommend that adopters keep me indoors. The nice thing about having an indoor rabbit is that I can come out of my cage for bunny playtime, in a rabbit proof area of the home. It's during this supervised playtime that rabbits often exhibit some of our most fun and interesting behaviors!<p/><p/>I would love a family who will interact with me daily to keep me active and social! When rabbits get the space and enrichment they need, we often form deep bonds with our humans!<p/><p/>My personality color is BLUE. I am a gentle and loving rabbit who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>If you would like to make an appointment to meet me, please call the front desk at 206-263-1320.<p/>",BLUE
K21-142429,A654266,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2362614,LOST,Tee,Dog,Over 1 year<p/>,Male,Siberian Husky,Unknown,12/06/2021 12:00:00 AM,Date Lost,192ND  STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2362614,Image Copyright HLP Inc. 2022,"Description: Black and White Siberian Husky. One blue eye and one black eye. Metal collar with a black leash attached. Name is Tee<p/>Age: Over 1 year<p/>Location Lost: 192nd Street, Seattle WA  98148<p/>Lost Date: 2021-12-06<p/>",
K22-143143,A655736,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655736,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Maddie,Cat,11 YEARS,Spayed Female,Domestic Shorthair,Gray / White,01/08/2022 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655736,Image Copyright HLP Inc. 2022,"Received on: 2022-01-08<p/> Description: Gray / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 11 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Maddie and I am available for adoption.<p/><p/>I was brought in on 01/08/2022 because because my previous owner passed away. I lived in a home with other cats and have been around children of all ages. My previous owner described me as shy and skiddish.<p/><p/> I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>  My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>Current medical conditions are noted below.<p/><p/>1)  Dental disease<p/>Dental disease is one of the most commonly diagnosed conditions in cats and dogs, affecting 50-80% of animals over 3 years old.  Accumulation of plaque and tartar, gingivitis, and the eventual loss of tooth attachment are primary concerns.  A dental exam, cleaning and radiographs under anesthesia may be required.  In moderate to severe cases, tooth extractions may be needed.  Consult with your regular veterinarian for the best treatment plan.<p/><p/>2) Hyperthyroid<p/>This animal has been diagnosed with hyperthyroidism; excess production of thyroid hormone.  Hyperthyroidism can cause weight loss, vocalization, increased urine production and heart disease.  This condition is being managed with daily medication.  Other treatment options may be available, including radioactive iodine treatment or prescription diet.  Periodic blood testing to monitor thyroid levels is needed.  Please follow up with you regular veterinarian to create a treatment plan.  An educational handout is provided.<p/><p/>Additional care for these conditions may be needed after adoption. Please follow up with your regular veterinarian.<p/>",RED
K22-143312,A656170,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2381908,In Public Home,Princess,Cat,Over 1 year<p/>,Female,Siamese,Brown,01/15/2022 12:00:00 AM,Date Found,106TH  AND 192ND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2381908,Image Copyright HLP Inc. 2022,"Description: Friendly 5 year old female Siamese cat. Brown body, black tail, black nose & black paws. Blue eyes. <p/>Age: Over 1 year<p/>Found Near: 106th and 192nd, Renton WA  98055<p/>Found Date: 2022-01-15<p/>",
K22-143202,A655971,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A655971,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ember,Dog,3 YEARS,Female,Pit Bull / Mix,Tricolor,01/11/2022 12:00:00 AM,Received on,11200 block of  132ND AVE NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655971,Image Copyright HLP Inc. 2022,"Received on: 2022-01-11<p/> Found Near: 11200 block of  132ND AVE NE<p/> Description: Tricolor Female Pit Bull / Mix Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-142944,A655313,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2373871,LOST,Fat Cat,Cat,Unknown<p/>,Male,Domestic Longhair,Unknown,12/28/2021 12:00:00 AM,Date Lost,27100 block of  186TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2373871,Image Copyright HLP Inc. 2022,"Description: The cat is a large long hair domestic that is gray and white. The most distinctive feature is one of his eyes was damaged after birth and it looks like he has a mangled eye but he can see out of it. <p/>Age: Unknown<p/>Location Lost: 27102 186th ave se, Kent WA  98042<p/>Lost Date: 2021-12-28<p/>",
K22-143201,A655954,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655954,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bruce,Cat,1 YEAR,Neutered Male,Domestic Shorthair,Brn Tabby / White,01/11/2022 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655954,Image Copyright HLP Inc. 2022,"Received on: 2022-01-11<p/> Description: Brn Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is  BRUCE and I am available for adoption.<p/><p/>I was brought in by my previous owner on  01/11/2022  because aren't friendly with children. Previous owner described me as shy. <p/><p/>I am an independent cat who likes to do my own thing!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/><p/>************I would do best in a calm, quiet home.********<p/><p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
